algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
GMM,raw,4.0,,,,,0.2388300970737153,0.939262828879988,598.2213208376555
GMM,raw,5.0,,,,,0.3132647251470902,1.0977594497791503,764.1159277207031
GMM,raw,6.0,,,,,0.027697385216351,2.799955448898094,428.2485053965554
GMM,raw,7.0,,,,,0.1492446773120892,1.0508941894787411,754.8838431216492
GMM,raw,8.0,,,,,0.0189159218140366,7.064875067633393,370.7953223480845
Agglomerative,raw,2.0,,,,,0.6899793200055596,0.4794642653331062,1088.161465912142
Agglomerative,raw,3.0,,,,,0.5082533207826048,0.6314300833273553,1089.928603036464
Agglomerative,raw,4.0,,,,,0.5090022049442345,0.6090636980380596,1245.5658374532125
Agglomerative,raw,5.0,,,,,0.5114434216758691,0.6114083519013025,1541.8568292146365
Agglomerative,raw,6.0,,,,,0.5051775144868977,0.700346649037593,1538.7032507314664
Agglomerative,raw,7.0,,,,,0.4354261741836538,0.6945036285150824,1615.0712676159808
Agglomerative,raw,8.0,,,,,0.435640362867929,0.6366538457157758,1633.9173120132225
Spectral,raw,2.0,,,,,0.4064672388519158,0.7418856687280581,445.0169436039349
Spectral,raw,3.0,,,,,0.4450595673889322,0.6081117955643683,887.217311456615
Spectral,raw,4.0,,,,,0.4485739862488545,0.5885833087235236,744.2967786942341
Spectral,raw,5.0,,,,,0.4437029308525539,0.6189091827451435,796.4893249709432
Spectral,raw,6.0,,,,,0.4132729760374047,0.6706922297494865,808.4361953163874
Spectral,raw,7.0,,,,,0.399689870593565,0.6959251036023976,781.675418867794
Spectral,raw,8.0,,,,,0.408316297779999,0.6906863983717398,723.3224358770393
DBSCAN,raw,,0.5,,,,0.408316297779999,0.6906863983717398,723.3224358770393
DBSCAN,raw,,1.0,,,,0.408316297779999,0.6906863983717398,723.3224358770393
DBSCAN,raw,,1.5,,,,0.408316297779999,0.6906863983717398,723.3224358770393
OPTICS,raw,,,3.0,,63.0,-0.2461580880283919,3.1004405590505675,6.650977151486699
OPTICS,raw,,,5.0,,23.0,-0.4228585901742343,2.4915894799454352,5.3381677645160055
OPTICS,raw,,,10.0,,9.0,-0.3581799635625275,2.0345782327147512,10.474771188343125
OPTICS,raw,,,20.0,,2.0,-0.2761226980740693,0.903373972300764,62.95745296670726
KMeans,Scaled,2.0,,,,,0.3562703019891899,1.2682886864659446,282.8778501141563
KMeans,Scaled,3.0,,,,,0.3200687987219103,1.5594613099499108,202.61355361268056
KMeans,Scaled,4.0,,,,,0.2824631946687407,1.501573157824574,164.59349646885036
KMeans,Scaled,5.0,,,,,0.1622132020575606,1.747292503071955,145.12930311481563
KMeans,Scaled,6.0,,,,,0.1542699670375785,1.7740094553722727,130.5885275466502
KMeans,Scaled,7.0,,,,,0.156988094452221,1.6500079170030466,122.08713285967816
KMeans,Scaled,8.0,,,,,0.1487492295749137,1.63836393213474,112.54879581820568
GMM,Scaled,2.0,,,,,0.3209869674113209,1.3455450648184395,257.74768158096487
GMM,Scaled,3.0,,,,,0.3126100436182062,1.6337997396459027,170.42805293341198
GMM,Scaled,4.0,,,,,0.2344426238166859,1.6468776894906063,145.54461892847007
GMM,Scaled,5.0,,,,,0.0949295866330467,2.1360242733482613,112.91058684466066
GMM,Scaled,6.0,,,,,0.1292410686539837,1.785190533903477,117.11113755043804
GMM,Scaled,7.0,,,,,0.1166380647155305,1.8765532557980544,104.8086477766616
GMM,Scaled,8.0,,,,,0.1360553074719771,1.7994857026257292,100.2298830783868
Agglomerative,Scaled,2.0,,,,,0.3198305478784648,1.3636017313860402,252.4284734664809
Agglomerative,Scaled,3.0,,,,,0.3065373979388816,1.6469774908043044,177.9729436983835
Agglomerative,Scaled,4.0,,,,,0.2315076597073126,1.57403804797263,144.44639851827878
Agglomerative,Scaled,5.0,,,,,0.1057027481426471,1.8928766643012929,124.7097729764842
Agglomerative,Scaled,6.0,,,,,0.114321530161932,1.850389465309808,113.08426817199228
Agglomerative,Scaled,7.0,,,,,0.1151673317706218,1.6790496486646005,104.223901934646
Agglomerative,Scaled,8.0,,,,,0.1185461745760169,1.606050026063038,98.6576310490441
Spectral,Scaled,2.0,,,,,0.3238923416149533,1.3232187455428708,257.8206502480183
Spectral,Scaled,3.0,,,,,0.2870554088027425,1.6498069973574123,187.0273297181029
Spectral,Scaled,4.0,,,,,0.1431374523036306,1.8562717856287796,148.6387322669094
Spectral,Scaled,5.0,,,,,0.1151899424341582,1.7804670634426971,123.72906602510557
Spectral,Scaled,6.0,,,,,0.1089627247922332,1.6271842005611452,113.97722375615338
Spectral,Scaled,7.0,,,,,0.1082415825732913,1.6509706303831526,108.78270883923072
Spectral,Scaled,8.0,,,,,0.1058769051839113,1.662788907023726,100.69606220819912
BIRCH,Scaled,,,,1.0,481.0,0.0189723511238453,0.4249025537823041,25.15043981419317
BIRCH,Scaled,,,,1.5,322.0,0.0261644613103269,0.7315094034866532,20.45177818985537
OPTICS,Scaled,,,3.0,,17.0,-0.3961871920648506,1.7128137224997912,2.3414405324596688
OPTICS,Scaled,,,10.0,,2.0,-0.1133603935030944,1.8981734869578848,5.205653231280508
