algorithm,k,ARI_mean,ARI_std,min_samples,Stability Score,preprocessing,threshold,eps
GMM,7.0,0.4028,0.053,,0.894,PCA+Outliers,,
GMM,8.0,0.4097,0.0498,,0.9004,PCA+Outliers,,
Agglomerative,2.0,0.7244,0.1118,,0.7764,PCA+Outliers,,
Agglomerative,3.0,0.4141,0.1179,,0.7642,PCA+Outliers,,
Agglomerative,4.0,0.4547,0.1128,,0.7744,PCA+Outliers,,
Agglomerative,5.0,0.4715,0.0954,,0.8092,PCA+Outliers,,
Agglomerative,6.0,0.4608,0.0828,,0.8344,PCA+Outliers,,
Agglomerative,7.0,0.4344,0.076,,0.848,PCA+Outliers,,
Agglomerative,8.0,0.4199,0.0697,,0.8606,PCA+Outliers,,
Spectral,2.0,0.8987,0.0838,,0.8324,PCA+Outliers,,
Spectral,3.0,0.6666,0.1883,,0.6234,PCA+Outliers,,
Spectral,4.0,0.6322,0.1447,,0.7106,PCA+Outliers,,
Spectral,5.0,0.5714,0.1213,,0.7574,PCA+Outliers,,
Spectral,6.0,0.4851,0.0929,,0.8142,PCA+Outliers,,
Spectral,7.0,0.4935,0.0902,,0.8196,PCA+Outliers,,
Spectral,8.0,0.5157,0.0911,,0.8178,PCA+Outliers,,
DBSCAN,,0.928,0.2482,,0.5036,PCA+Outliers,,1.5
BIRCH,,0.9994,0.0018,,0.9964,PCA+Outliers,0.5,
BIRCH,,0.8355,0.0333,,0.9334,PCA+Outliers,1.0,
BIRCH,,0.5559,0.0395,,0.921,PCA+Outliers,1.5,
OPTICS,,0.8772,0.075,3.0,0.85,PCA+Outliers,,
OPTICS,,0.9624,0.1057,5.0,0.7886,PCA+Outliers,,
